fuel,factor,effect_column,level,effect_cent_l,provisional_effect_cent_l,raw_effect_cent_l,n_obs,n_stations,confidence,status,constraint_applied,shrinkage_stations,is_active,role
GAZOLE,code_departement,department_effect_cent_l,56,-0.5420697487187628,-0.5420697487187628,-0.694765452583203,2711,142,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,57,0.6151647319602366,0.6151647319602366,0.7947748726785537,2443,137,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,58,0.8082732784030214,0.8082732784030214,1.338288542929593,1074,61,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,59,-0.4131745846455354,-0.4131745846455354,-0.4777331134964003,4807,256,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,60,-0.12157829439000215,-0.12157829439000215,-0.16244494796647346,2287,119,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,61,-0.008251591404640357,-0.008251591404640357,-0.013752652341067262,1080,60,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,62,-0.23174794474887012,-0.23174794474887012,-0.27102725741817013,4411,236,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,63,-0.3529229045220377,-0.3529229045220377,-0.467694580789367,2241,123,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,64,0.6131501879136538,0.6131501879136538,0.8209977092403161,2148,118,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,65,1.1460462029044705,1.1460462029044705,2.0109867333984104,894,53,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,66,-0.828679177504721,-0.828679177504721,-1.2827499596990886,1388,73,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,67,-0.22355479546839133,-0.22355479546839133,-0.28200049363006224,2793,153,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,68,-0.27745286374381506,-0.27745286374381506,-0.37150468196205744,2159,118,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,69,0.6180123876396233,0.6180123876396233,0.7403910782613309,3723,202,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,70,-0.4925578102011114,-0.4925578102011114,-0.8052929277891187,1079,63,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,71,0.38494705236248716,0.38494705236248716,0.4882885429295978,2591,149,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,72,0.6495923058775952,0.6495923058775952,0.9120538436059166,1728,99,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,73,0.4056121099339034,0.4056121099339034,0.5819652012095136,1525,92,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,74,1.769318758113987,1.769318758113987,2.305475957542468,2231,132,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,75,6.722834137940842,6.722834137940842,13.12553331693212,585,42,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,76,-0.39432721806764803,-0.39432721806764803,-0.48765910400081913,3220,169,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,77,-0.6490344378894992,-0.6490344378894992,-0.7924674628374548,3325,181,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,78,0.5028508421888963,0.5028508421888963,0.6406181962132516,2768,146,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,79,-1.2794972425432793,-1.2794972425432793,-1.9903290439562125,1283,72,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,80,0.05547055497421105,0.05547055497421105,0.07545994415410692,2048,111,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
